Player,Position,AV,From,To,Notes
A.J. Feeley,QB,8,2001,2011,FeelA.00
A.J. McCarron,QB,4,2015,2023,McCaA.00
Aaron Brooks,QB,73,2000,2006,BrooAa00
Aaron Rodgers,QB,243,2005,2024,RodgAa00
Abe Karnofsky,QB-HB-DB,,1945,1946,KarnAb20
Ace Parker+,TB-DB-QB,,1937,1946,ParkAc20
Adrian Breen,QB,0,1987,1987,BreeAd20
Adrian Burk,QB,,1950,1956,BurkAd00
Aidan O'Connell,QB,10,2023,2024,OConAi00
Akili Smith,QB,2,1999,2002,SmitAk00
Al Dorow,QB,27,1954,1962,DoroAl00
Al Johnson,QB-P,,1948,1948,JohnAl20
Al Woodall,QB,13,1969,1974,WoodAl00
Alan Pastrana,QB,2,1969,1970,PastCh00
Alan Risher,QB,2,1985,1987,RishAl20
Albie Reisz,TB-HB-QB,,1944,1947,ReisAl20
Alex Espinoza,QB,0,1987,1987,EspiAl21
Alex Smith,QB,120,2005,2020,SmitAl03
Alex Tanney,QB,0,2015,2019,TannAl00
Alex Van Pelt,QB,7,1995,2003,VanPAl00
Allie Sherman,QB,,1943,1947,SherAl20
Andre Ware,QB,5,1990,1993,WareAn00
Andrew Luck,QB,80,2012,2018,LuckAn00
Andrew Walter,QB,1,2006,2008,WaltAn00
Andy Dalton,QB,118,2011,2024,DaltAn00
Angelo Bertelli,QB,,1946,1948,BertAn20
Anthony Brown,QB,1,2022,2022,BrowAn06
Anthony Dilweg,QB,4,1989,1990,DilwAn00
Anthony Richardson,QB,9,2023,2024,RichAn03
Anthony Wright,QB,11,2000,2007,WrigAn00
Anton Stolfa,QB-DB,,1939,1939,StolAn20
Archie Manning,QB,94,1971,1984,MannAr00
Archie Roberts,QB,0,1967,1967,RobeAr00
Armanti Edwards,QB,1,2010,2013,EdwaAr00
Arnie Galiffa,QB,,1953,1954,GaliAr20
Art Schlichter,QB,4,1982,1985,SchlAr00
Austin Davis,QB,6,2014,2017,DaviAu00
Ave Kaplan,BB-HB-QB,,1923,1923,KaplAv20
B.J. Daniels,QB,0,2015,2015,DaniB.00
Babe Laufenberg,QB,4,1986,1990,LaufBa00
Babe Parilli,QB,71,1952,1969,PariBa00
Bailey Zappe,QB,2,2022,2024,ZappBa00
Baker Mayfield,QB,81,2018,2024,MayfBa00
Bart Starr+,QB,115,1956,1971,StarBa00
Ben Bennett,QB,0,1987,1987,BennBe20
Ben DiNucci,QB,1,2020,2020,DiNuBe00
Ben Roethlisberger,QB,208,2004,2021,RoetBe00
Benjy Dial,QB,0,1967,1967,DialBe00
Benny Russell,QB,0,1968,1968,RussBe00
Bernard Quarles,QB,0,1987,1987,QuarBe20
Bernie Kosar,QB,79,1985,1996,KosaBe00
Bernie Lee,QB,,1938,1938,LeexBe20
Bernie Masterson,QB,,1934,1940,MastBe20
Bert Jones,QB,92,1973,1982,JoneBe00
Bev Wallace,QB,,1947,1951,WallBe20
Bill Cappleman,QB,0,1970,1973,CappBi00
Bill Demory,QB,1,1973,1974,DemoBi00
Bill Donckers,QB,0,1976,1977,DoncBi00
Bill Dudley+,HB-TB-QB,,1942,1953,DudlBi00
Bill Garnaas,QB,,1946,1948,GarnBi20
Bill Glenn,QB,,1944,1944,GlenBi20
Bill Houle,BB-QB,,1924,1924,HoulBi20
Bill Hutchinson,QB,,1942,1942,HutcBi20
Bill Joyce,QB,,1920,1920,JoycBi20
Bill Kenney,QB,58,1980,1988,KennBi00
Bill Mackrides,QB,,1947,1953,MackBi20
Bill Munson,QB,58,1964,1979,MunsBi00
Bill Musgrave,QB,1,1991,1996,MusgBi00
Bill Nelsen,QB,61,1963,1972,NelsBi00
Bill Troup,QB,6,1974,1980,TrouBi00
Billy Guy Anderson,QB,0,1967,1967,AndeBi21
Billy Joe Hobert,QB,7,1995,1999,HobeBi00
Billy Joe Tolliver,QB,28,1989,1999,TollBi00
Billy Kilmer,QB-HB,100,1961,1978,KilmBi00
Billy Stevens,QB,0,1968,1969,StevBi00
Billy Volek,QB,12,2001,2011,VoleBi00
Billy Wade,QB,53,1954,1966,WadeBi00
Blaine Gabbert,QB,19,2011,2023,GabbBl00
Blair Kiel,QB,4,1984,1991,KielBl00
Blake Bortles,QB,48,2014,2019,BortBl00
Bo Nix,QB,13,2024,2024,NixxBo00
Bob Avellini,QB,30,1975,1984,AvelBo00
Bob Berry,QB,42,1965,1975,BerrBo00
Bob Bleier,QB,1,1987,1987,BleiBo20
Bob Brodhead,QB,1,1960,1960,BrodBo00
Bob Celeri,QB,,1951,1952,CeleBo00
Bob Clatterbuck,QB,1,1954,1960,ClatBo00
Bob Davis,QB,10,1967,1973,DaviBo00
Bob DeMoss,QB,,1949,1949,DeMoBo20
Bob Dunlap,DB-QB,,1935,1936,DunlBo20
Bob Gagliano,QB,13,1982,1992,GaglBo00
Bob Gambold,QB,,1953,1953,GambBo20
Bob Griese+,QB,138,1967,1980,GrieBo00
Bob Hewko,QB,0,1983,1983,HewkBo20
Bob Holly,QB,1,1983,1985,HollBo00
Bob Laraba,LB-QB,13,1960,1961,LaraBo20
Bob Leahy,QB,0,1971,1971,LeahBo00
Bob Lee,QB-P,21,1969,1980,LeexBo00
Bob Monnett,TB-HB-QB,,1933,1938,MonnBo20
Bob Naponic,QB,0,1970,1970,NapoBo00
Bob Ptacek,QB,,1959,1959,PtacBo20
Bob Rapp,WB-BB-HB-QB,,1922,1929,RappBo20
Bob Schweickert,QB,0,1965,1967,SchwBo00
Bob Scrabis,QB,0,1960,1962,ScraBo00
Bob Snyder,TB-QB,,1937,1943,SnydBo20
Bob Trocolor,QB-HB,,1942,1944,TrocBo20
Bob Waterfield+,QB,,1945,1952,WateBo01
Bob Waters,QB,5,1960,1963,WateBo00
Bob Williams,QB,,1951,1955,WillBo20
Bobby Douglass,QB,41,1969,1978,DougBo00
Bobby Garrett,QB,,1954,1954,GarrBo20
Bobby Hebert,QB,79,1985,1996,HebeBo00
Bobby Hoying,QB,2,1996,2000,HoyiBo00
Bobby Layne+,QB,21,1948,1962,LaynBo00
Bobby Scott,QB,10,1973,1981,ScotBo00
Bobby Thomason,QB,,1949,1957,ThomBo02
Boley Dancewicz,QB-DB,,1946,1948,DancBo20
Boomer Esiason,QB,137,1984,1997,EsiaBo00
Brad Goebel,QB,1,1991,1994,GoebBr00
Brad Johnson,QB,93,1994,2008,JohnBr00
Bradlee Van Pelt,QB,0,2005,2005,VanPBr00
Brady Quinn,QB,2,2007,2012,QuinBr00
Brandon Allen,QB,5,2019,2024,AlleBr00
Brandon Weeden,QB,14,2012,2018,WeedBr00
Brendan Folmar,QB,0,1987,1987,FolmBr20
Brent Pease,QB,2,1987,1988,PeasBr00
Brett Basanez,QB,0,2006,2006,BasaBr00
Brett Favre+,QB,259,1991,2010,FavrBr00
Brett Hundley,QB,5,2016,2019,HundBr00
Brett Rypien,QB,3,2020,2023,RypiBr00
Brian Brohm,QB,0,2009,2010,BrohBr00
Brian Dowling,QB,1,1972,1977,DowlBr00
Brian Griese,QB,62,1998,2008,GrieBr00
Brian Hoyer,QB,26,2009,2023,HoyeBr00
Brian McClure,QB,1,1987,1987,McClBr20
Brian Sipe,QB,87,1974,1983,SipeBr00
Brian St. Pierre,QB,0,2004,2010,St.PBr20
Brock Berlin,QB,0,2007,2008,BerlBr00
Brock Huard,QB,2,2000,2003,HuarBr00
Brock Osweiler,QB,15,2012,2018,OsweBr00
Brock Purdy,QB,37,2022,2024,PurdBr00
Brodie Croyle,QB,2,2006,2010,CroyBr00
Brooks Bollinger,QB,6,2004,2008,BollBr00
Browning Nagle,QB,5,1991,1996,NaglBr00
Bruce Gradkowski,QB,8,2006,2014,GradBr00
Bruce Hardy,TE-WR-QB,26,1978,1989,HardBr00
Bruce Lemmerman,QB,2,1968,1969,LemmBr00
Bruce Mathison,QB,6,1983,1987,MathBr00
Bruce Threadgill,DB-QB,3,1978,1978,ThreBr20
Bryan Clark,QB,0,1984,1984,ClarBr22
Bryce Perkins,QB,1,2022,2022,PerkBr02
Bryce Petty,QB,4,2016,2017,PettBr01
Bryce Young,QB,14,2023,2024,YounBr01
Bubby Brister,QB,42,1986,2000,BrisBu00
Buckets Hirsch,QB-FB,,1947,1949,HirsBu20
Bucky Richardson,QB,3,1992,1994,RichBu00
Bud Schwenk,QB-TB-HB,,1942,1948,SchwBu20
Buddy Humphrey,QB,3,1959,1966,HumpBu00
Butch Simas,BB-QB,,1932,1933,SimaBu20
Butch Songin,QB,18,1960,1962,SongBu00
Byron Leftwich,QB,36,2003,2012,LeftBy00
C.J. Beathard,QB,9,2017,2023,BeatC.00
C.J. Stroud,QB,25,2023,2024,StroCJ00
Cade McNown,QB,8,1999,2000,McNoCa00
Caleb Hanie,QB,2,2009,2011,HaniCa00
Caleb Williams,QB,12,2024,2024,WillCa03
Cam Newton,QB,140,2011,2021,NewtCa00
Cardale Jones,QB,0,2016,2016,JoneCa01
Carl Summerell,QB,0,1974,1975,SummCa00
Carlos Brown,QB,2,1975,1976,BrowCa00
Carson Palmer,QB,141,2004,2017,PalmCa00
Carson Wentz,QB,68,2016,2024,WentCa00
Cary Conklin,QB,1,1992,1995,ConkCa00
Case Keenum,QB,40,2013,2023,KeenCa00
Casey Weldon,QB,1,1993,1999,WeldCa00
Chad Henne,QB,29,2008,2022,HennCh01
Chad Hutchinson,QB,4,2002,2004,HutcCh00
Chad Kelly,QB,0,2018,2018,KellCh00
Chad Pennington,QB,62,2000,2010,PennCh01
Charley Eikenberg,QB,,1948,1948,EikeCh20
Charley Johnson,QB,100,1961,1975,JohnCh02
Charley Sarratt,QB,,1948,1948,SarrCh20
Charlie Batch,QB,38,1998,2012,BatcCh00
Charlie Brackins,QB,,1955,1955,BracCh20
Charlie Conerly,QB,6,1948,1961,ConeCh00
Charlie Frye,QB,8,2005,2009,FryeCh00
Charlie Green,QB,0,1966,1966,GreeCh00
Charlie Mathys,BB-QB,,1921,1926,MathCh20
Charlie Milstead,QB-DB,3,1960,1961,MilsCh20
Charlie O'Rourke,QB,,1942,1949,ORouCh20
Charlie Seabright,BB-QB,,1941,1950,SeabCh20
Charlie Whitehurst,QB,7,2006,2016,WhitCh02
Chase Daniel,QB,6,2010,2022,DaniCh00
Chon Gallegos,QB,1,1962,1962,GallCh00
Chris Chandler,QB,103,1988,2004,ChanCh00
Chris Greisen,QB,0,1999,2000,GreiCh00
Chris Miller,QB,60,1987,1999,MillCh00
Chris Oladokun,QB,0,2024,2024,OladCh00
Chris Redman,QB,10,2000,2011,RedmCh00
Chris Simms,QB,8,2004,2009,SimmCh00
Chris Streveler,QB,0,2020,2022,StreCh00
Chris Weinke,QB,9,2001,2007,WeinCh00
Christian Ponder,QB,23,2011,2014,PondCh00
Chuck Clements,QB,0,1997,1997,ClemCh21
Chuck Fusina,QB,0,1979,1986,FusiCh00
Chuck Long,QB,11,1986,1991,LongCh00
Clayton Tune,QB,0,2023,2024,TuneCl00
Cleo Lemon,QB,6,2006,2008,LemoCl00
Cliff Lewis,DB-QB,,1946,1951,LewiCl20
Cliff Olander,QB,1,1977,1979,OlanCl00
Cliff Stoudt,QB,17,1980,1989,StouCl00
Clint Longley,QB,2,1974,1976,LongCl00
Clint Stoerner,QB,1,2000,2001,StoeCl00
Clyde LeForce,QB,,1947,1949,LeFoCl20
Cody Carlson,QB,15,1988,1994,CarlCo00
Cody Kessler,QB,5,2016,2018,KessCo00
Cody Pickett,QB,1,2004,2005,PickCo00
Coley McDonough,TB-QB,,1939,1944,McDoCo20
Colin Kaepernick,QB,49,2011,2016,KaepCo00
Colt McCoy,QB,19,2010,2022,McCoCo00
Connor Cook,QB,0,2016,2016,CookCo00
Connor Shaw,QB,0,2014,2014,ShawCo00
Cooper Rush,QB,9,2017,2024,RushCo00
Cory Sauter,QB,0,2002,2002,SautCo00
Cotton Davidson,QB,45,1954,1968,DaviCo00
Cotton Price,TB-DB-QB,,1940,1946,PricCo20
Craig Bradshaw,QB,0,1980,1980,BradCr20
Craig Erickson,QB,22,1992,1997,EricCr00
Craig Krenzel,QB,1,2004,2004,KrenCr00
Craig Kupp,QB,0,1991,1991,KuppCr20
Craig Morton,QB,118,1965,1982,MortCr00
Craig Nall,QB,1,2003,2007,NallCr00
Craig Penrose,QB,3,1976,1979,PenrCr00
Craig Whelihan,QB,1,1997,1998,WhelCr00
Curtis Painter,QB,2,2009,2013,PainCu00
Dak Prescott,QB,112,2016,2024,PresDa01
Dameyune Craig,QB,0,2000,2001,CraiDa00
Damon Huard,QB,20,1998,2008,HuarDa00
Dan Darragh,QB,-2,1968,1970,DarrDa00
Dan Fouts+,QB,163,1973,1987,FoutDa00
Dan Henning,QB,0,1966,1966,HennDa00
Dan Manucci,QB,0,1979,1987,ManuDa20
Dan Marino+,QB,216,1983,1999,MariDa00
Dan McGwire,QB,2,1991,1995,McGwDa00
Dan Orlovsky,QB,7,2005,2015,OrloDa00
Dan Pastorini,QB,72,1971,1983,PastDa00
Daniel Jones,QB,45,2019,2024,JoneDa05
Danny Kanell,QB,15,1996,2003,KaneDa00
Danny White,QB-P,104,1976,1988,WhitDa01
Danny Wuerffel,QB,6,1997,2002,WuerDa00
Daryle Lamonica,QB,88,1963,1974,LamoDa00
Daunte Culpepper,QB,98,1999,2009,CulpDa00
Dave Barr,QB,0,1995,1995,BarrDa20
Dave Brown,QB,29,1992,2001,BrowDa00
Dave Krieg,QB,138,1980,1998,KrieDa00
Dave Leggett,QB-DB,,1955,1955,LeggDa20
Dave Lewis,QB-P,14,1970,1973,LewiDa22
Dave Mays,QB,5,1976,1978,MaysDa00
Dave Ragone,QB,1,2003,2003,RagoDa00
Dave Walter,QB,1,1987,1987,WaltDa20
Dave Wilson,QB,17,1981,1988,WilsDa00
Davey O'Brien,QB-TB,,1939,1940,OBriDa21
David Archer,QB,14,1984,1989,ArchDa00
David Blough,QB,0,2019,2022,BlouDa00
David Carr,QB,49,2002,2012,CarrDa00
David Fales,QB,1,2016,2019,FaleDa00
David Garrard,QB,70,2002,2010,GarrDa00
David Humm,QB,2,1975,1984,HummDa00
David Jaynes,QB,0,1974,1974,JaynDa00
David Klingler,QB,11,1992,1997,KlinDa00
David Norrie,QB,1,1987,1987,NorrDa20
David Whitehurst,QB,21,1977,1983,WhitDa02
David Woodley,QB,37,1980,1985,WoodDa00
Davis Mills,QB,16,2021,2024,MillDa02
Davis Webb,QB,1,2021,2022,WebbDa00
Dean Carlson,QB,0,1974,1974,CarlDe00
Dean Look,QB,0,1962,1962,LookDe00
Dean May,QB,0,1984,1987,MayxDe20
Dennis Claridge,QB,2,1965,1966,ClarDe02
Dennis Dixon,QB,2,2008,2010,DixoDe00
Dennis Morrison,QB,1,1974,1974,MorrDe00
Dennis Shaw,QB,20,1970,1975,ShawDe00
Dennis Sproul,QB,0,1978,1978,SproDe20
Derek Anderson,QB,22,2006,2018,AndeDe00
Derek Carr,QB,119,2014,2024,CarrDe02
Deshaun Watson,QB,63,2017,2024,WatsDe00
DeShone Kizer,QB,6,2017,2018,KizeDe00
Desmond Ridder,QB,13,2022,2024,RiddDe00
Devlin Hodges,QB,0,2019,2019,HodgDe00
Dewey Warren,QB,2,1968,1968,WarrDe00
Dick Flowers,QB,,1953,1953,FlowDi20
Dick Horn,QB,,1958,1958,HornDi20
Dick Jamieson,QB,2,1960,1961,JamiDi00
Dick Norman,QB,0,1961,1961,NormDi20
Dick Shiner,QB,18,1964,1974,ShinDi00
Dick Wood,QB,18,1962,1966,WoodDi00
Dieter Brock,QB,9,1985,1985,BrocDi00
Dominique Davis,QB,0,2013,2013,DaviDo02
Don Allard,QB,0,1961,1962,AllaDo20
Don Breaux,QB,4,1963,1965,BreaDo00
Don Gault,QB,0,1970,1970,GaulDo00
Don Heinrich,QB,1,1954,1962,HeinDo00
Don Horn,QB,10,1967,1974,HornDo00
Don Klosterman,QB,,1952,1952,KlosDo20
Don Majkowski,QB,43,1987,1996,MajkDo00
Don Meredith,QB,84,1960,1968,MereDo00
Don Milan,QB,1,1975,1975,MilaDo00
Don Panciera,QB-DB,,1949,1952,PancDo20
Don Strock,QB,21,1974,1988,StroDo00
Don Trull,QB,18,1964,1969,TrulDo00
Donald Hollas,QB,5,1991,1998,HollDo00
Donovan McNabb,QB,138,1999,2011,McNaDo00
Dorian Thompson-Robinson,QB,2,2023,2024,ThomDo02
Doug Flutie,QB,60,1986,2005,FlutDo00
Doug Gaynor,QB,0,1986,1986,GaynDo20
Doug Hudson,QB,0,1987,1987,HudsDo20
Doug Johnson,QB,8,2000,2004,JohnDo00
Doug Nussmeier,QB,2,1996,1997,NussDo00
Doug Pederson,QB,3,1993,2004,PedeDo00
Doug Williams,QB,63,1978,1989,WillDo01
Drake Maye,QB,8,2024,2024,MayeDr00
Drew Bledsoe,QB,139,1993,2006,BledDr00
Drew Brees,QB,277,2001,2020,BreeDr00
Drew Henson,QB,0,2004,2008,HensDr00
Drew Lock,QB,15,2019,2024,LockDr00
Drew Stanton,QB,10,2008,2017,StanDr00
Dwayne Haskins,QB,4,2019,2020,HaskDw00
Eagle Day,QB,3,1959,1960,DayxEa00
Earl Morrall,QB,86,1956,1976,MorrEa00
Easton Stick,QB,4,2020,2023,SticEa00
Eber Simpson,BB-QB,,1923,1923,SimpEb20
Ed Baker,QB,0,1972,1972,BakeEd00
Ed Blount,QB,0,1987,1987,BlouEd20
Ed Brown,QB,39,1954,1965,BrowEd01
Ed Burns,QB,0,1979,1980,BurnEd20
Ed Chlebek,QB,0,1963,1963,ChleEd00
Ed Luther,QB,7,1980,1984,LuthEd00
Ed Mioduszewski,QB-DB,,1953,1953,MiodEd20
Ed Rubbert,QB,2,1987,1987,RubbEd20
Ed Rutkowski,QB-HB-SE-WR,15,1963,1968,RutkEd00
Ed Salem,DB-QB,,1951,1951,SaleEd20
Edd Hargett,QB,12,1969,1973,HargEd00
Eddie LeBaron,QB,20,1952,1963,LeBaEd00
Eddie Wilson,QB-P,3,1962,1965,WilsEd00
EJ Manuel,QB,11,2013,2017,ManuEJ00
Eli Manning,QB,169,2004,2019,MannEl00
Elvis Grbac,QB,53,1994,2001,GrbaEl00
Emery Nix,TB-QB,,1943,1946,NixxEm20
Eric Hipple,QB,41,1980,1989,HippEr00
Eric Kresser,QB,0,1998,1998,KresEr00
Eric Zeier,QB,5,1995,2000,ZeieEr00
Erik Kramer,QB,46,1987,1999,KramEr00
Erik Wilhelm,QB,3,1989,1996,WilhEr00
