Player,Position,AV,From,To,Notes
Mike Busch,QB,1,1987,1987,BuscMi20
Mike Cherry,QB,0,1997,1998,CherMi00
Mike Elkins,QB,0,1989,1989,ElkiMi00
Mike Ernst,QB,0,1972,1973,ErnsMi00
Mike Glennon,QB,8,2013,2021,GlenMi00
Mike Hohensee,QB,2,1987,1987,HoheMi20
Mike Hold,QB,1,1987,1987,HoldMi20
Mike Kafka,QB,0,2011,2011,KafkMi00
Mike Kelley,QB,1,1987,1987,KellMi21
Mike Kerrigan,QB,0,1983,1984,KerrMi00
Mike Kirkland,QB,1,1978,1978,KirkMi00
Mike Koken,QB-HB,,1933,1933,KokeMi20
Mike Kruczek,QB,7,1976,1980,KrucMi00
Mike Livingston,QB,50,1968,1979,LiviMi00
Mike Loyd,QB,0,1980,1980,LoydMi00
Mike Machurek,QB,1,1984,1984,MachMi00
Mike McMahon,QB,6,2001,2005,McMaMi00
Mike Micka,FB-HB-QB,,1944,1948,MickMi20
Mike Moroski,QB,8,1979,1986,MoroMi00
Mike Norseth,QB,0,1988,1988,NorsMi20
Mike Nott,QB,0,1976,1976,NottMi00
Mike Pagel,QB,32,1982,1993,PageMi00
Mike Perrie,QB,,1939,1939,PerrMi20
Mike Phipps,QB,46,1970,1981,PhipMi00
Mike Quinn,QB,0,1997,1998,QuinMi00
Mike Rae,QB,9,1976,1979,RaexMi00
Mike Taliaferro,QB,13,1964,1972,TaliMi00
Mike Tomczak,QB,57,1985,1999,TomcMi00
Mike Wells,QB,0,1977,1977,WellMi21
Mike White,QB,5,2021,2024,WhitMi01
Milt Plum,QB,59,1957,1969,PlumMi00
Milt Smith,DB-QB,,1945,1945,SmitMi24
Mitchell Trubisky,QB,43,2017,2024,TrubMi00
Monte McGuire,QB,0,1987,1987,McGuMo20
Moses Moreno,QB,1,1998,2000,MoreMo00
Murray Evans,BB-QB,,1942,1943,EvanMu20
Nate Sudfeld,QB,1,2017,2022,SudfNa00
Nathan Peterman,QB,3,2017,2023,PeteNa00
Neal Jeffrey,QB,0,1976,1976,JeffNe00
Neil Graff,QB,1,1974,1977,GrafNe00
Neil Lomax,QB,82,1981,1988,LomaNe00
Neil O'Donnell,QB,73,1991,2003,ODonNe00
Nick Foles,QB,37,2012,2022,FoleNi00
Nick Mullens,QB,17,2018,2024,MullNi00
Nick Papac,QB,1,1961,1961,PapaNi00
Nick Sacrinty,QB,,1947,1947,SacrNi20
Nick Scollard,E-QB,,1946,1949,ScolNi20
Nick Sebek,QB,,1950,1950,SebeNi20
Norm Cox,QB-TB,,1946,1947,CoxxNo20
Norm Snead,QB,114,1961,1976,SneaNo00
Norm Van Brocklin+,QB,17,1949,1960,VanBNo00
Norris Weese,QB-P,10,1976,1979,WeesNo00
Ogden Compton,QB,,1955,1955,CompOg20
Oliver Luck,QB,6,1983,1986,LuckOl00
Otto Graham+,QB-DB,,1946,1955,GrahOt00
P.J. Walker,QB,6,2020,2023,WalkPh00
Pard Pearce,QB-BB,,1920,1925,PearPa20
Parnell Dickinson,QB,1,1976,1976,DickPa00
Pat Barnes,QB,0,1999,1999,BarnPa20
Pat Brady,QB-K,,1952,1954,BradPa21
Pat Haden,QB,36,1976,1981,HadePa00
Pat Ryan,QB,14,1978,1991,RyanPa00
Pat Sullivan,QB,3,1972,1975,SullPa00
Patrick Mahomes,QB,123,2017,2024,MahoPa00
Patrick Ramsey,QB,15,2002,2008,RamsPa00
Paul Christman,QB,,1945,1950,ChriPa20
Paul Collins,QB,,1945,1945,CollPa22
Paul Governali,QB-TB,,1946,1948,GovePa20
Paul Held,QB,,1954,1955,HeldPa20
Paul Hornung+,HB-FB-QB,49,1957,1966,HornPa00
Paul Justin,QB,8,1995,1999,JustPa00
Paul Larson,QB,0,1957,1960,LarsPa00
Paul McDonald,QB,16,1980,1986,McDoPa00
Paul Rickards,QB,,1948,1948,RickPa20
Paxton Lynch,QB,2,2016,2017,LyncPa00
Perry Klein,QB,0,1994,1994,KleiPe20
Perry Moss,QB,,1948,1948,MossPe20
Pete Beathard,QB,31,1964,1973,BeatPe00
Pete Gonzalez,QB,0,1999,1999,GonzPe00
Pete Lauer,FB-QB,,1922,1922,LauePe20
Pete Liske,QB,19,1964,1972,LiskPe00
Pete Mikolajewski,QB,0,1969,1969,MikoPe20
Peter Tom Willis,QB,4,1990,1993,WillPe00
Peyton Manning+,QB,271,1998,2015,MannPe00
Phil Simms,QB,118,1979,1993,SimmPh00
Philip Rivers,QB,218,2004,2020,RivePh00
Porter Lainhart,QB,,1933,1933,LainPo20
Quincy Carter,QB,17,2001,2004,CartQu00
Quinn Gray,QB,6,2005,2008,GrayQu00
Rabbit Keen,QB,,1937,1938,KeenRa20
Ralph Guglielmi,QB,13,1955,1963,GuglRa00
Ralph Marston,QB,,1929,1929,MarsRa21
Randall Cunningham,QB,137,1985,2001,CunnRa00
Randy Dean,QB,2,1977,1979,DeanRa00
Randy Duncan,QB,2,1961,1961,DuncRa00
Randy Fasani,QB,1,2002,2002,FasaRa00
Randy Hedberg,QB,1,1977,1977,HedbRa00
Randy Johnson,QB,28,1966,1976,JohnRa00
Randy Wright,QB,15,1984,1988,WrigRa00
Ray Brown,DB-QB,2,1958,1960,BrowRa21
Ray Lucas,QB,12,1996,2002,LucaRa00
Ray Mallouf,QB-TB,,1941,1949,MallRa20
Ray Nagel,QB,,1953,1953,NageRa20
Reggie Collier,QB,1,1986,1987,CollRe20
Reggie McNeal,QB,0,2006,2006,McNeRe00
Reino Nori,QB,,1937,1938,NoriRe20
Rex Grossman,QB,25,2003,2011,GrosRe00
Rich Campbell,QB,2,1981,1984,CampRi00
Rich Gannon,QB,118,1987,2004,GannRi00
Richard Badar,QB,0,1967,1967,BadaRi20
Richard Bartel,QB,0,2010,2011,BartRi00
Richard Todd,QB,71,1976,1985,ToddRi00
Richie Lucas,QB-DB-HB,4,1960,1961,LucaRi00
Rick Arrington,QB,4,1970,1972,ArriRi00
Rick McIvor,QB,0,1984,1985,McIvRi20
Rick Mirer,QB,36,1993,2003,MireRi00
Rick Neuheisel,QB,1,1987,1987,NeuhRi20
Rick Norton,QB,6,1966,1970,NortRi00
Rick Strom,QB,1,1989,1991,StroRi00
Rick Trocano,QB-DB,0,1981,1982,TrocRi20
Ricky Turner,QB,1,1988,1988,TurnRi21
Rob Hertel,QB,0,1978,1978,HertRo20
Rob Johnson,QB,23,1995,2003,JohnRo00
Robert Griffin III,QB,38,2012,2020,GrifRo01
Rodney Peete,QB,56,1989,2004,PeetRo00
Roger Grove,BB-HB-QB,,1931,1935,GrovRo20
Roger Staubach+,QB,127,1969,1979,StauRo00
Rohan Davey,QB,0,2002,2004,DaveRo01
Roman Gabriel,QB,130,1962,1977,GabrRo00
Ron Jaworski,QB,107,1974,1989,JawoRo00
Ron Meyer,QB,0,1966,1966,MeyeRo00
Ron Miller,QB,1,1962,1962,MillRo01
Ron Smith,QB,5,1965,1966,SmitRo03
Ron Vander Kelen,QB,6,1963,1967,VandRo00
Ronnie Knox,QB,,1957,1957,KnoxRo20
Ronnie Lee South,QB-P,0,1968,1968,SoutRo00
Roy Zimmerman,QB-WB-K,,1940,1948,ZimmRo20
Rudy Bukich,QB,32,1953,1968,BukiRu00
Rudy Carpenter,QB,0,2011,2011,CarpRu00
Russ Cotton,QB,,1942,1942,CottRu20
Russell Wilson,QB,188,2012,2024,WilsRu00
Rusty Hilger,QB,5,1985,1991,HilgRu00
Rusty Lisch,QB,2,1980,1984,LiscRu00
Rusty Smith,QB,1,2010,2012,SmitRu01
Ryan Finley,QB,2,2019,2020,FinlRy00
Ryan Fitzpatrick,QB,101,2005,2021,FitzRy00
Ryan Griffin,QB,0,2019,2019,GrifRy01
Ryan Leaf,QB,1,1998,2001,LeafRy00
Ryan Lindley,QB,-4,2012,2015,LindRy00
Ryan Mallett,QB,4,2012,2017,MallRy00
Ryan Nassib,QB,0,2014,2015,NassRy00
Ryan Tannehill,QB,114,2012,2023,TannRy00
Sage Rosenfels,QB,14,2002,2010,RoseSa00
Sam Adkins,QB,2,1977,1981,AdkiSa00
Sam Bradford,QB,49,2010,2018,BradSa00
Sam Darnold,QB,42,2018,2024,DarnSa00
Sam Ehlinger,QB,2,2021,2023,EhliSa00
Sam Etcheverry,QB,8,1961,1962,EtchSa00
Sam Howell,QB,12,2022,2024,HoweSa00
Sam Vacanti,QB,,1947,1949,VacaSa20
Sam Wyche,QB,10,1968,1976,WychSa00
Sammy Baugh+,QB-TB,,1937,1952,BaugSa00
Sammy Garza,QB,1,1987,1987,GarzSa20
Sandy Osiecki,QB,0,1984,1984,OsieSa20
Scott Brunner,QB,17,1980,1985,BrunSc00
Scott Bull,QB,5,1976,1978,BullSc00
Scott Campbell,QB,8,1984,1990,CampSc00
Scott Covington,QB,0,1999,2002,CoviSc00
Scott Gudmundson,QB,,1944,1945,GudmSc20
Scott Hunter,QB,22,1971,1979,HuntSc00
Scott Milanovich,QB,0,1996,1996,MilaSc00
Scott Mitchell,QB,53,1991,2001,MitcSc00
Scott Secules,QB,5,1989,1993,SecuSc00
Scott Stankavage,QB,0,1984,1987,StanSc00
Scott Tinsley,QB,2,1987,1987,TinsSc20
Scott Tolzien,QB,3,2013,2017,TolzSc00
Scott Woolf,QB,0,1987,1987,WoolSc20
Scott Zolak,QB,4,1992,1999,ZolaSc00
Scotty Glacken,QB,0,1966,1967,GlacSc00
Sean Clifford,QB,0,2023,2023,ClifSe00
Sean Mannion,QB,2,2015,2021,MannSe00
Sean Payton,QB,0,1987,1987,PaytSe20
Sean Renfree,QB,0,2015,2015,RenfSe00
Sean Salisbury,QB,11,1987,1996,SaliSe00
Seneca Wallace,QB,16,2005,2013,WallSe00
Shane Matthews,QB,8,1996,2004,MattSh00
Shaun Hill,QB,24,2005,2016,HillSh00
Shaun King,QB,19,1999,2004,KingSh00
Shawn Halloran,QB,1,1987,1987,HallSh20
Shawn Moore,QB,1,1992,1992,MoorSh00
Shorty Elness,HB-QB,,1929,1929,ElneSh20
Sid Luckman+,QB-HB-DB,,1939,1950,LuckSi00
Skylar Thompson,QB,3,2022,2024,ThomSk00
Solly Sherman,QB,,1939,1940,SherSo20
Sonny Gibbs,QB,0,1964,1964,GibbSo00
Sonny Jurgensen+,QB,136,1957,1974,JurgSo00
Sonny Winters,BB-QB,,1923,1924,WintSo20
Spencer Rattler,QB,2,2024,2024,RattSp00
Spergon Wynn,QB,2,2000,2001,WynnSp00
Stan Gelbaugh,QB,2,1989,1996,GelbSt00
Stan Heath,QB,,1949,1949,HeatSt20
Stan Humphries,QB,56,1989,1997,HumpSt00
Stephen McGee,QB,2,2010,2011,McGeSt00
Steve Bartkowski,QB,84,1975,1986,BartSt00
Steve Beuerlein,QB,85,1988,2003,BeueSt00
Steve Bono,QB,36,1985,1999,BonoSt00
Steve Bradley,QB,0,1987,1987,BradSt20
Steve DeBerg,QB,109,1978,1998,DebeSt00
Steve Dils,QB,17,1979,1988,DilsSt00
Steve Fuller,QB,31,1979,1986,FullSt00
Steve Grogan,QB,117,1975,1990,GrogSt00
Steve Joachim,QB,0,1976,1976,JoacSt20
Steve Matthews,QB,1,1997,1998,MattSt00
Steve McNair,QB,125,1995,2007,McNaSt00
Steve Myer,QB,4,1977,1979,MyerSt00
Steve Nemeth,QB-HB,,1945,1947,NemeSt20
Steve Pelluer,QB,25,1984,1990,PellSt00
Steve Pisarkiewicz,QB,2,1978,1980,PisaSt00
Steve Ramsey,QB,25,1970,1976,RamsSt00
Steve Romanik,QB,,1950,1954,RomaSt00
Steve Sloan,QB,0,1966,1967,SloaSt00
Steve Spurrier,QB-P,29,1967,1976,SpurSt00
Steve Stenstrom,QB,6,1996,1999,StenSt00
Steve Tensi,QB,21,1965,1970,TensSt00
Steve Walsh,QB,22,1989,1999,WalsSt00
Steve Young+,QB,168,1985,1999,YounSt00
Stoney Case,QB,4,1995,2000,CaseSt00
T.J. Rubley,QB,5,1993,1995,RublTJ00
T.J. Yates,QB,6,2011,2017,YateT.00
Tanner McKee,QB,1,2024,2024,McKeTa01
Tarvaris Jackson,QB,24,2006,2015,JackTa00
Taylor Heinicke,QB,21,2017,2024,HeinTa00
Taysom Hill,QB,31,2017,2024,HillTa00
Ted Marchibroda,QB,,1953,1957,MarcTe20
Ted Wright,HB-QB,,1934,1935,WrigTe20
Teddy Bridgewater,QB,53,2014,2024,BridTe00
Tee Martin,QB,0,2001,2003,MartTe00
Terrelle Pryor,QB,17,2011,2018,PryoTe00
Terry Baker,QB,6,1963,1965,BakeTe00
Terry Bradshaw+,QB,140,1970,1983,BradTe00
Terry Hanratty,QB,8,1969,1976,HanrTe00
Terry Luck,QB,1,1977,1977,LuckTe00
Terry Nofsinger,QB,1,1961,1967,NofsTe00
Terry Nugent,QB,0,1987,1987,NugeTe20
Thaddeus Lewis,QB,3,2012,2013,LewiTh01
Tim Boyle,QB,4,2019,2024,BoylTi00
Tim Couch,QB,33,1999,2003,CoucTi00
Tim Hasselbeck,QB,1,2002,2007,HassTi00
Tim Rattay,QB,13,2000,2007,RattTi00
Tim Riordan,QB,0,1987,1987,RiorTi20
Tim Tebow,QB,12,2010,2012,TeboTi00
Tim Van Galder,QB,2,1972,1972,VanGTi00
Timm Rosenbach,QB,13,1989,1992,RoseTi00
Tobin Rote,QB,16,1950,1966,RoteTo00
Todd Blackledge,QB,13,1983,1989,BlacTo00
Todd Bouman,QB,6,2001,2010,BoumTo00
Todd Collins,QB,11,1995,2010,CollTo00
Todd Hons,QB,2,1987,1987,HonsTo20
Todd Husak,QB,0,2000,2000,HusaTo20
Todd Marinovich,QB,3,1991,1992,MariTo00
Todd Philcox,QB,3,1990,1997,PhilTo00
Todd Whitten,QB,0,1987,1987,WhitTo20
Tom Brady,QB,326,2000,2022,BradTo00
Tom Brandstater,QB,0,2011,2011,BranTo00
Tom Clements,QB,0,1980,1980,ClemTo20
Tom Dimitroff,QB,0,1960,1960,DimiTo00
Tom Dublinski,QB,0,1952,1960,DublTo00
Tom Duniven,QB,0,1977,1977,DuniTo20
Tom Farris,QB,,1946,1948,FarrTo20
Tom Flick,QB,1,1981,1986,FlicTo00
Tom Flores+,QB,44,1960,1969,FlorTo00
Tom Greene,QB-P,2,1960,1961,GreeTo20
Tom Hodson,QB,4,1990,1995,HodsTo00
Tom Kennedy,QB,3,1966,1966,KennTo00
Tom Landry+,DB-HB-QB,,1949,1955,LandTo00
Tom Matte,RB-QB,81,1961,1972,MattTo00
Tom Myers,QB,0,1965,1966,MyerTo00
Tom O'Malley,QB,,1950,1950,OMalTo20
Tom Owen,QB,9,1974,1981,OwenTo00
Tom Ramsey,QB,5,1986,1989,RamsTo00
Tom Savage,QB,3,2014,2017,SavaTo00
Tom Sherman,QB,1,1968,1969,SherTo00
Tom Tupa,QB-P,38,1988,2004,TupaTo20
Tom Yewcic,QB-P-HB,12,1961,1966,YewcTo00
Tommy Boutwell,WR-QB,0,1969,1969,BoutTo00
Tommy DeVito,QB,5,2023,2024,DeViTo00
Tommy Kramer,QB,84,1977,1990,KramTo00
Tommy Maddox,QB,25,1992,2005,MaddTo00
Tommy Mont,QB-HB,,1947,1949,MontTo20
Tommy O'Connell,QB,3,1953,1961,OConTo00
Tommy Stevens,QB,0,2020,2020,StevTo01
Tommy Thompson,QB,,1940,1950,ThomTo21
Tommy Wade,QB,1,1964,1965,WadeTo00
Tony Adams,QB,10,1975,1987,AdamTo00
Tony Banks,QB,49,1996,2005,BankTo00
Tony Dungy+,DB-QB,10,1977,1979,DungTo20
Tony Eason,QB,39,1983,1990,EasoTo00
Tony Graziani,QB,3,1997,1999,GrazTo00
Tony Pike,QB,0,2010,2010,PikeTo00
Tony Robinson,QB,1,1987,1987,RobiTo20
Tony Romo,QB,115,2004,2016,RomoTo00
Tony Sacca,QB,0,1992,1992,SaccTo00
Tory Woodbury,QB,0,2001,2002,WoodTo02
Trace McSorley,QB,1,2019,2022,McSoTr00
Travis Brown,QB,1,2000,2003,BrowTr01
Travis Tidwell,QB,,1950,1951,TidwTr20
Trent Dilfer,QB,60,1994,2007,DilfTr00
Trent Edwards,QB,17,2007,2012,EdwaTr01
Trent Green,QB,110,1997,2008,GreeTr00
Trevone Boykin,QB,0,2016,2016,BoykTr00
Trevor Lawrence,QB,41,2021,2024,LawrTr00
Trevor Siemian,QB,16,2015,2023,SiemTr00
Trey Lance,QB,5,2021,2024,LancTr00
Troy Aikman+,QB,120,1989,2000,AikmTr00
Troy Smith,QB,6,2007,2010,SmitTr02
Troy Taylor,QB,0,1990,1991,TaylTr00
Tua Tagovailoa,QB,49,2020,2024,TagoTu00
Tuffy Leemans+,FB-TB-DB-QB,,1936,1943,LeemTu20
Turk Schonert,QB,13,1981,1989,SchoTu00
Ty Detmer,QB,16,1993,2003,DetmTy00
Tyler Bray,QB,0,2017,2020,BrayTy00
Tyler Huntley,QB,9,2020,2024,HuntTy01
Tyler Palko,QB,2,2010,2011,PalkTy00
Tyler Thigpen,QB,10,2007,2012,ThigTy00
Tyrod Taylor,QB,53,2011,2024,TaylTy00
Tyson Bagent,QB,3,2023,2024,BageTy00
Val Keckin,QB,0,1962,1962,KeckVa00
Vern Huffman,BB-TB-HB-QB,,1937,1938,HuffVe20
Vic Eaton,QB-DB,,1955,1955,EatoVi20
Vince Evans,QB,34,1977,1995,EvanVi00
Vince Ferragamo,QB,35,1977,1986,FerrVi00
Vince Oliver,QB,,1945,1945,OlivVi20
Vince Young,QB,36,2006,2011,YounVi00
Vinny Testaverde,QB,141,1987,2007,TestVi00
Virgil Carter,QB,28,1968,1976,CartVi00
Wade Wilson,QB,58,1981,1998,WilsWa00
Wally Richardson,QB,0,1998,1998,RichWa00
Walt Rankin,QB-FB,,1941,1947,RankWa20
Walter Briggs,QB,0,1987,1987,BrigWa20
Warren Moon+,QB,163,1984,2000,MoonWa00
Warren Rabb,QB,6,1960,1962,RabbWa00
Wayne Clark,QB,2,1970,1975,ClarWa00
Wayne Gift,QB,,1937,1937,GiftWa20
Will Cureton,QB,0,1975,1975,CureWi00
Will Furrer,QB,1,1992,1995,FurrWi00
Will Grier,QB,1,2019,2019,GrieWi00
Will Levis,QB,11,2023,2024,LeviWi00
Willie Gillus,QB,0,1987,1987,GillWi21
Willie Thrower,QB,,1953,1953,ThroWi20
Willie Totten,QB,0,1987,1987,TottWi20
Y.A. Tittle+,QB,47,1948,1964,TittY.00
Young Bussey,QB,,1941,1941,BussYo20
Zach Mettenberger,QB,1,2014,2015,MettZa00
Zach Wilson,QB,14,2021,2023,WilsZa00
Zeke Bratkowski,QB,22,1954,1971,BratZe00
"Zeke Bratkowski,QB,22,1954,1971,BratZe00",,,,,
